area_id,area_name,source,calendar_quarter,sex,age_group,population,asfr
MWI_4_1,,Census 2018,CY2008Q2,female,Y000_004,16155.885821169,
MWI_4_1,,Census 2018,CY2008Q2,female,Y005_009,14445.689727968,
MWI_4_1,,Census 2018,CY2008Q2,female,Y010_014,12442.4931484183,
MWI_4_1,,Census 2018,CY2008Q2,female,Y015_019,11256.4443659959,0.156669257550984
MWI_4_1,,Census 2018,CY2008Q2,female,Y020_024,7753.0536033182,0.274147438141208
MWI_4_1,,Census 2018,CY2008Q2,female,Y025_029,5942.4272195207,0.248732156418799
MWI_4_1,,Census 2018,CY2008Q2,female,Y030_034,5399.44719147703,0.22034242949534
MWI_4_1,,Census 2018,CY2008Q2,female,Y035_039,4678.44981275422,0.168318891487081
MWI_4_1,,Census 2018,CY2008Q2,female,Y040_044,3514.76195260583,0.083091983261884
MWI_4_1,,Census 2018,CY2008Q2,female,Y045_049,2685.27446989561,0.033951103297738
MWI_4_1,,Census 2018,CY2008Q2,female,Y050_054,1973.18386626102,
MWI_4_1,,Census 2018,CY2008Q2,female,Y055_059,1497.13506256453,
MWI_4_1,,Census 2018,CY2008Q2,female,Y060_064,1482.17044911311,
MWI_4_1,,Census 2018,CY2008Q2,female,Y065_069,1276.1179453504,
MWI_4_1,,Census 2018,CY2008Q2,female,Y070_074,1040.07700662085,
MWI_4_1,,Census 2018,CY2008Q2,female,Y075_079,641.030193724112,
MWI_4_1,,Census 2018,CY2008Q2,female,Y080_999,802.085282388742,
MWI_4_1,,Census 2018,CY2008Q2,male,Y000_004,15868.9737983624,
MWI_4_1,,Census 2018,CY2008Q2,male,Y005_009,13824.7684521999,
MWI_4_1,,Census 2018,CY2008Q2,male,Y010_014,12194.9911992821,
MWI_4_1,,Census 2018,CY2008Q2,male,Y015_019,10479.0667675454,
MWI_4_1,,Census 2018,CY2008Q2,male,Y020_024,7460.01665667098,
MWI_4_1,,Census 2018,CY2008Q2,male,Y025_029,5157.02282900137,
MWI_4_1,,Census 2018,CY2008Q2,male,Y030_034,4226.35259381677,
MWI_4_1,,Census 2018,CY2008Q2,male,Y035_039,3771.98421595013,
MWI_4_1,,Census 2018,CY2008Q2,male,Y040_044,3280.07512769751,
MWI_4_1,,Census 2018,CY2008Q2,male,Y045_049,2535.96396140559,
MWI_4_1,,Census 2018,CY2008Q2,male,Y050_054,1905.96293271466,
MWI_4_1,,Census 2018,CY2008Q2,male,Y055_059,1267.01359317212,
MWI_4_1,,Census 2018,CY2008Q2,male,Y060_064,1158.00189203105,
MWI_4_1,,Census 2018,CY2008Q2,male,Y065_069,1006.03019968714,
MWI_4_1,,Census 2018,CY2008Q2,male,Y070_074,1005.90755095712,
MWI_4_1,,Census 2018,CY2008Q2,male,Y075_079,559.972109224894,
MWI_4_1,,Census 2018,CY2008Q2,male,Y080_999,695.987530168846,
MWI_4_1,,Census 2018,CY2009Q2,female,Y000_004,16443.1178666259,
